Model,RAG,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,ExactMatch,Latency
GPT-2,False,0.2384,0.0836,0.1672,0.0300,0.0000,3.0868
GPT-2,True,0.0921,0.0156,0.0719,0.0000,0.0000,2.4423
DistilGPT-2 LoRA,False,0.2379,0.0788,0.1686,0.0297,0.0000,3.0563
DistilGPT-2 LoRA,True,0.0710,0.0073,0.0574,0.0000,0.0000,3.0441
FLAN-T5 Small,False,0.1544,0.0157,0.1299,0.0161,0.0000,0.3157
FLAN-T5 Small,True,0.8301,0.7813,0.8172,0.7349,0.0000,0.4436
